"","URL","Title","Date","Text"
"1","https://www.wsj.com/articles/supreme-court-rules-abortion-clinics-can-challenge-texas-abortion-law-11639149404?mod=hp_lead_pos1","Supreme Court Rules Abortion Clinics Can Challenge Texas Law - WSJ","Updated Dec. 10, 2021 5:28 pm ET","WASHINGTON—The Supreme Court on Friday gave abortion providers a narrow legal path to challenge Texas’ ban on ending pregnancies after six weeks, but the splintered ruling left the law in effect for now and made any rapid resumption of such abortions in the state unlikely.  While most justices found common ground on allowing the providers to challenge the law in a limited way, they split sharply on whether a broad set of Texas officials could be sued—an important procedural question that could affect the future of the state’s abortion restrictions. A slim conservative majority said they couldn’t be, prompting spirited exchanges among the justices about whether the court was retreating from its role as the protector of constitutional rights. We are delighted that you'd like to resume your subscription. You will be charged
        $ + tax
        (if applicable) for The Wall Street Journal.
        You may change your billing preferences at any time in the Customer Center or call
        Customer Service.
        You will be notified in advance of any changes in rate or terms.
        You may cancel your subscription at anytime by calling
        Customer Service.
       Please click confirm to resume now. WSJ Membership Customer Service Tools & Features Ads More Dow Jones Products"
"2","https://www.wsj.com/articles/us-inflation-consumer-price-index-november-2021-11639088867?mod=hp_lead_pos2","U.S. Inflation Hit a 39-Year High in November  - WSJ","Updated Dec. 10, 2021 12:43 pm ET","U.S. inflation reached a nearly four-decade high in November, as strong consumer demand collided with pandemic-related supply constraints. The Labor Department said the consumer-price index—which measures what consumers pay for goods and services—rose 6.8% in November from the same month a year ago. That was the fastest pace since 1982 and the sixth straight month in which inflation topped 5%. We are delighted that you'd like to resume your subscription. You will be charged
        $ + tax
        (if applicable) for The Wall Street Journal.
        You may change your billing preferences at any time in the Customer Center or call
        Customer Service.
        You will be notified in advance of any changes in rate or terms.
        You may cancel your subscription at anytime by calling
        Customer Service.
       Please click confirm to resume now. WSJ Membership Customer Service Tools & Features Ads More Dow Jones Products"
"3","https://www.wsj.com/articles/gm-plans-more-than-3-billion-for-electric-vehicle-projects-in-michigan-11639154755?mod=hp_lead_pos3","GM Plans More Than $3 Billion for Electric-Vehicle Projects in Michigan - WSJ","Updated Dec. 10, 2021 5:21 pm ET","General Motors Co.  plans to invest more than $3 billion to make electric vehicles in Michigan, people familiar with the matter said, a potential win for the car maker’s home state after recent commitments of auto projects to Southern states. GM is finalizing plans for two electric-vehicle projects in Michigan. One would convert its Orion Assembly plant in suburban Detroit to serve as its hub for production of electric pickup trucks, the people with knowledge of the plans said. The renovation would cost at least $2 billion and would be expected to create more than 1,500 jobs at the factory, which today is lightly used, the people said. We are delighted that you'd like to resume your subscription. You will be charged
        $ + tax
        (if applicable) for The Wall Street Journal.
        You may change your billing preferences at any time in the Customer Center or call
        Customer Service.
        You will be notified in advance of any changes in rate or terms.
        You may cancel your subscription at anytime by calling
        Customer Service.
       Please click confirm to resume now. WSJ Membership Customer Service Tools & Features Ads More Dow Jones Products"
"4","https://www.wsj.com/articles/southern-californias-container-ship-backlog-moves-farther-out-to-sea-11639132381?mod=hp_lead_pos4","Southern California’s Container-Ship Backlog Moves Farther Out to Sea - WSJ","Dec. 10, 2021 5:33 am ET","https://www.wsj.com/articles/southern-californias-container-ship-backlog-moves-farther-out-to-sea-11639132381 The backup of container ships waiting to enter the nation’s busiest port complex isn’t letting up. But it has moved farther from shore. Only about 30 vessels sat within sight of the ports of Los Angeles and Long Beach this week, waiting for berths at a gateway that has come to symbolize U.S. supply-chain bottlenecks. More than 60 others destined for the port complex remained in waters farther out to sea, some hundreds or even thousands of miles away, including ships that reduced speed during their voyage from Asia to delay their arrival. The ships are complying with a voluntary system set up last month by maritime officials because of fears the ports can’t safely accommodate the crush of waiting vessels as winter weather sweeps in with strong winds and rough seas.  Top news and in-depth analysis on the world of logistics, from supply chain to transport and technology.  “Container ships are very tall and blow around a lot in the wind,” said Kip Louttit, executive director of the Marine Exchange of Southern California, which monitors ship movements in the area. ”The numbers were not going down, so therefore we needed to find a way to spread the ships out.” Before the new system was put in place, many ships rushed across the Pacific to secure a berth at a container terminal by crossing a line 20 nautical miles from the ports, said Jessica Alvarenga, a spokeswoman for the Pacific Merchant Shipping Association, which represents ocean carriers and West Coast terminal operators. Under the new system, ships are placed on a wait list once they leave their last port of call, often in China. That gives captains an estimated date for a berth and allows them to slow their journey to the U.S., Ms. Alvarenga said.  The system has hidden from view a big part of the armada of cargo ships waiting to unload. But the backup at the biggest gateway for U.S. container imports remains as large as ever, with the lineup of vessels now stretching across the Pacific, signaling that big volumes of cargo are still heading for port terminals, warehouses and transportation networks that have been swamped by the imports. Between January and September, the neighboring ports handled the equivalent of 7.7 million loaded import containers, an increase of 21% from the comparable months of 2019, before the pandemic, according to research and consulting firm Beacon Economics. The Biden administration and maritime officials have sought to reduce the backlog with measures that included an attempt to extend the hours truckers pick up boxes. The measures have had limited impact, in part because of shortages of workers, trucking equipment and the sheer volume of boxes flowing into and out of the ports. A month ago, a then-record 86 container ships waited at anchor or in special drift areas within 40 miles of the port complex. By this week, the number of ships waiting for a berth in the area had fallen to 30, according to the Marine Exchange, while another 66 ships were moving toward the port at reduced speeds, known in the industry as slow-steaming, or were waiting outside a new safety zone. Jim McKenna, chief executive of the Pacific Maritime Association, which represents West Coast terminal operators in labor negotiations, said some ships now take 22 to 24 days to complete a voyage from Asia that used to take 10 to 14 days. Mr. McKenna said the new system is good for the environment because it keeps pollution from idling ships far from densely populated Southern California and because ships burn less fuel when they slow down.  

 Ships approaching California from Asia are asked to stay more than 150 miles from shore, while vessels arriving from the north or the south are asked to stay 50 miles from shore so they can spread farther apart from each other and avoid collisions.  Nahal Mogharabi, a spokeswoman for the South Coast Air Quality Management District, an air-pollution agency, said that although the new system reduces the number of ships close to shore, near-shore congestion remains higher than it was before the pandemic.  The California Air Resources Board, another air-pollution agency, estimates that the cargo surge has caused a 60% increase in smog-forming emissions from port activity, Ms. Mogharabi said. Mr. Louttit said the safety need for the new system was illustrated in November when winds of 40 to 50 knots caused eight ships to drag their anchors along the seabed, while one ship burned out the motor on equipment used to raise its anchor. No damage was caused during that incident, Mr. Louttit said.  Separately, the U.S. Coast Guard is investigating whether an oil spill close to the port complex in October was caused by a waiting ship’s dragged anchor hitting an underwater pipeline. Mr. Louttit said that strong winds sweep across the San Pedro Bay waters off the ports at least once a month during this time of year and that it was “unacceptable to have this many vessels this close together through the winter.” Write to Paul Berger at Paul.Berger@wsj.com Copyright ©2021 Dow Jones & Company, Inc. All Rights Reserved. 87990cbe856818d5eddac44c7b1cdeb8 
      Appeared in the December 11, 2021, print edition as 'Backlogged Ships Kept Farther Out at Sea.'
     WSJ Membership Customer Service Tools & Features Ads More Dow Jones Products Copyright © 2021 Dow Jones & Company, Inc. All Rights Reserved"
"5","https://www.wsj.com/articles/instacart-president-carolyn-everson-to-depart-after-about-four-months-at-food-delivery-firm-11639166609?mod=hp_lead_pos5","Instacart President Carolyn Everson to Depart After About Four Months at Food-Delivery Firm - WSJ","Updated Dec. 10, 2021 5:42 pm ET","Instacart Inc. said its president, Carolyn Everson, will leave the food-delivery company at the end of this year, about four months after she joined from  Facebook ,  marking the second high-profile departure in recent months ahead of a possible public offering. Ms. Everson, who announced the move on a Facebook post, was among several executives Instacart recruited from the social-media company now known as  Meta Platforms Inc.,  and part of a new management team that Instacart Chief Executive Fidji Simo has assembled this year. Ms. Simo herself left Facebook to take leadership of Instacart in July. We are delighted that you'd like to resume your subscription. You will be charged
        $ + tax
        (if applicable) for The Wall Street Journal.
        You may change your billing preferences at any time in the Customer Center or call
        Customer Service.
        You will be notified in advance of any changes in rate or terms.
        You may cancel your subscription at anytime by calling
        Customer Service.
       Please click confirm to resume now. WSJ Membership Customer Service Tools & Features Ads More Dow Jones Products"
"6","https://www.wsj.com/articles/democrats-confront-inflation-cost-concerns-on-2-trillion-spending-plan-11639172824?mod=hp_lead_pos6","Democrats Confront Inflation, Cost Concerns on $2 Trillion Spending Plan - WSJ","Dec. 10, 2021 4:47 pm ET","We are delighted that you'd like to resume your subscription. You will be charged
        $ + tax
        (if applicable) for The Wall Street Journal.
        You may change your billing preferences at any time in the Customer Center or call
        Customer Service.
        You will be notified in advance of any changes in rate or terms.
        You may cancel your subscription at anytime by calling
        Customer Service.
       Please click confirm to resume now. WSJ Membership Customer Service Tools & Features Ads More Dow Jones Products"
"7","https://www.wsj.com/articles/abandoned-ships-hazardous-cargo-global-shipping-11639148303?mod=hp_lead_pos7","Leaking Hull, Hazardous Cargo: Aboard a Stranded Ship No One Would Help - WSJ","Dec. 10, 2021 10:00 am ET","https://www.wsj.com/articles/abandoned-ships-hazardous-cargo-global-shipping-11639148303 LIMASSOL, Cyprus—The cargo ship laden with 3,000 tons of flammable sulfur was stranded off the coast of Somalia and taking on water. With “SOS” in the subject line, an Oct. 26 email from the crew of the MV Haj Abdullah said the hull of the 260-foot vessel was cracked and seawater was sloshing over the deck and into the diesel fuel. The sailors were almost out of food, and months had passed since the ship’s owner had last paid them. The waters around them were notorious for piracy. We are delighted that you'd like to resume your subscription. You will be charged
        $ + tax
        (if applicable) for The Wall Street Journal.
        You may change your billing preferences at any time in the Customer Center or call
        Customer Service.
        You will be notified in advance of any changes in rate or terms.
        You may cancel your subscription at anytime by calling
        Customer Service.
       Please click confirm to resume now."
"8","https://www.wsj.com/articles/for-clues-to-how-omicron-plays-out-in-the-u-s-look-to-the-u-k-11639135145?mod=hp_lead_pos8","U.K. Provides Clues on How Omicron Could Play Out in the U.S.  - WSJ","Updated Dec. 10, 2021 1:03 pm ET","LONDON—The U.K. is emerging as a testing ground in the battle for dominance between the new Omicron variant of the coronavirus and Delta, the earlier strain that is currently driving most infections in the U.S. and Europe. How Britain fares against Omicron will offer clues to the U.S. and the rest of the industrialized world about how the variant behaves in a highly vaccinated population, how sick those who are infected get and if its dozens of mutations have given Omicron enough of an advantage on the evolutionary ladder to starve Delta of the hosts it needs to stay on top. We are delighted that you'd like to resume your subscription. You will be charged
        $ + tax
        (if applicable) for The Wall Street Journal.
        You may change your billing preferences at any time in the Customer Center or call
        Customer Service.
        You will be notified in advance of any changes in rate or terms.
        You may cancel your subscription at anytime by calling
        Customer Service.
       Please click confirm to resume now. WSJ Membership Customer Service Tools & Features Ads More Dow Jones Products"
"9","https://www.wsj.com/articles/truck-in-fatal-mexican-crash-was-packed-with-over-160-migrants-11639176078?mod=hp_lead_pos9","Truck in Fatal Mexican Crash Was Packed With Over 160 Migrants  - WSJ","Updated Dec. 10, 2021 6:14 pm ET","MEXICO CITY—Smugglers have been packing U.S.-bound migrants into trucks such as the one in the fatal crash that killed dozens in southern Mexico to avoid stepped-up inspections of passenger buses, human-rights workers said. The out-of-control trailer truck that crashed Thursday into a pedestrian bridge in southern Chiapas state carried more than 160 migrants, mostly Central American migrants who were being smuggled to the U.S., Mexican authorities said. There were at least 55 migrants killed and 104 injured. We are delighted that you'd like to resume your subscription. You will be charged
        $ + tax
        (if applicable) for The Wall Street Journal.
        You may change your billing preferences at any time in the Customer Center or call
        Customer Service.
        You will be notified in advance of any changes in rate or terms.
        You may cancel your subscription at anytime by calling
        Customer Service.
       Please click confirm to resume now. WSJ Membership Customer Service Tools & Features Ads More Dow Jones Products"
"10","https://www.wsj.com/articles/ghislaine-maxwell-accuser-describes-meeting-socialite-at-epsteins-ranch-11639168358?mod=hp_lead_pos10","Prosecution Rests in Ghislaine Maxwell Trial - WSJ","Updated Dec. 10, 2021 4:55 pm ET","Federal prosecutors wrapped up their sex-trafficking case against Ghislaine Maxwell Friday afternoon after a fourth accuser testified that when she was 16 years old, the British socialite touched her breasts during a massage at Jeffrey Epstein’s New Mexico ranch. Earlier in the day, Annie Farmer said in federal court in New York that in the spring of 1996 she went on a weekend trip to the ranch with Ms. Maxwell and Epstein after he had expressed an interest in her education and in helping her get into college. But the trip left her feeling isolated and confused, she said. During the getaway, Epstein caressed her arm while they watched a movie and tried to cuddle in bed with her one morning, she said. We are delighted that you'd like to resume your subscription. You will be charged
        $ + tax
        (if applicable) for The Wall Street Journal.
        You may change your billing preferences at any time in the Customer Center or call
        Customer Service.
        You will be notified in advance of any changes in rate or terms.
        You may cancel your subscription at anytime by calling
        Customer Service.
       Please click confirm to resume now. WSJ Membership Customer Service Tools & Features Ads More Dow Jones Products"
